,Time,Rectus Femoris right,Rectus Femoris left,Hamstrings right,Hamstrings left,TibilaisÂ Anterior right,TibilaisÂ Anterior left,Gastrocnemius right,Gastrocnemius left
121,0.0563276,0.0515297,-0.0740215,0.0867781,-0.0157778,-0.5275502,-0.0256809,-1.1190509,-0.051194
122,0.0567931,0.0513619,-0.0595865,0.0616007,-0.0125887,-0.5161364,-0.0270237,-1.2123751,-0.0501869
123,0.0572586,0.0538796,-0.0498512,0.023331,-0.0095674,-0.507744,-0.0270237,-1.2887465,-0.0458228
124,0.0577241,0.0589151,-0.0453193,-0.0283665,-0.0078889,-0.5023728,-0.0223239,-1.3545434,-0.0391089
125,0.0581897,0.0661326,-0.047837,-0.0827497,-0.0050355,-0.4963302,-0.0142672,-1.4171511,-0.0337377
126,0.0586552,0.0797284,-0.0522011,-0.1354543,-0.0038605,-0.4694743,-0.0109102,-1.4722057,-0.0298772
127,0.0591207,0.0981918,-0.0538796,-0.1888304,-0.0041962,-0.4092164,-0.012253,-1.507454,-0.0253452
128,0.0595862,0.1156481,-0.0513619,-0.2425422,-0.0052033,-0.3492943,-0.0166171,-1.5205463,-0.0236667
129,0.0600517,0.1272297,-0.0458228,-0.2928969,-0.005539,-0.3111925,-0.0191348,-1.5217212,-0.0260166
130,0.0605172,0.1327687,-0.0407874,-0.3387198,-0.0048676,-0.286183,-0.0198062,-1.5212177,-0.0298772
131,0.0609828,0.131426,-0.0386053,-0.3811856,-0.0048676,-0.2593271,-0.0213169,-1.5228962,-0.0350805
132,0.0614483,0.1233692,-0.0377661,-0.4145876,-0.005539,-0.2291142,-0.0236667,-1.5249104,-0.0399481
133,0.0619138,0.1109483,-0.0384375,-0.4365759,-0.0068818,-0.1962158,-0.0240024,-1.523064,-0.0431373
134,0.0623793,0.0985275,-0.0364233,-0.448661,-0.0083925,-0.1606317,-0.0199741,-1.5118181,-0.04448
135,0.0628448,0.0881209,-0.0307164,-0.4540322,-0.0068818,-0.1287404,-0.0135958,-1.4898299,-0.0441444
136,0.0633103,0.0803998,-0.0229953,-0.4533608,-0.0030213,-0.1079271,-0.0068818,-1.4584421,-0.0404517
137,0.0637759,0.0716716,-0.0162814,-0.4459754,0.0005035,-0.0884565,-0.0023499,-1.4159762,-0.0303807
138,0.0642414,0.0616007,-0.0151064,-0.434226,0.0018463,-0.0575723,-0.0036927,-1.3537041,-0.0157778
139,0.0647069,0.0538796,-0.0181277,-0.421973,0.0008392,-0.0184634,-0.0112459,-1.2657511,-0.002182
140,0.0651724,0.0498512,-0.0176242,-0.4050202,0.0008392,0.0186313,-0.0216526,-1.1509422,0.0090639
141,0.0656379,0.0493477,-0.012253,-0.3823606,0.0011749,0.0501869,-0.0330663,-1.0039063,0.0209812
142,0.0661034,0.0481727,-0.0035248,-0.3546654,0.002182,0.0842603,-0.0461585,-0.8209506,0.033402
143,0.066569,0.040116,0.0025177,-0.3231098,0.0016785,0.1257191,-0.0619364,-0.6158389,0.04448
144,0.0670345,0.0285344,0.0052033,-0.2915541,0.0011749,0.1710384,-0.0763714,-0.4026703,0.0443122
145,0.0675,0.0193027,0.0025177,-0.2653696,0.0011749,0.2227359,-0.0842603,-0.1868162,0.0280308
146,0.0679655,0.0135958,0.0001678,-0.2489204,0.0005035,0.2892042,-0.0849317,0.0184634,-0.0035248
147,0.068431,0.0072175,0.002182,-0.2422065,-0.0005035,0.3694362,-0.0780499,0.1955444,-0.0609293
148,0.0688966,-0.0018463,0.0072175,-0.2378424,-0.0010071,0.4562142,-0.0572366,0.3308309,-0.1371328
149,0.0693621,-0.012253,0.0125887,-0.2234073,-0.0015106,0.5394675,-0.018967,0.4214694,-0.1989014
150,0.0698276,-0.0208133,0.017792,-0.190341,-0.0015106,0.6175174,0.0246738,0.4721599,-0.2240787
151,0.0702931,-0.0246738,0.0241703,-0.1467002,-0.0003357,0.7017777,0.054551,0.4897841,-0.212665
152,0.0707586,-0.0240024,0.030045,-0.1042344,0.0008392,0.7914092,0.0710002,0.4845808,-0.1747311
153,0.0712241,-0.0182956,0.0307164,-0.064622,0.0008392,0.8541848,0.076875,0.4625925,-0.128069
154,0.0716897,-0.0129244,0.024506,-0.0250095,-0.0028534,0.8659342,0.0696574,0.4301976,-0.0882887
155,0.0721552,-0.0157778,0.0146029,0.0139315,-0.008896,0.8491493,0.0528725,0.3902495,-0.0619364
156,0.0726207,-0.0236667,0.0057069,0.0508583,-0.0135958,0.8343786,0.0344091,0.3445945,-0.0448157
157,0.0730862,-0.0287022,0.0001678,0.0854353,-0.0129244,0.8273289,0.0198062,0.2945754,-0.0370947
158,0.0735517,-0.0287022,0.0005035,0.1200122,-0.008896,0.8112154,0.0129244,0.2413672,-0.0360876
159,0.0740172,-0.0276951,0.0005035,0.1535821,-0.005539,0.7679103,0.0082246,0.1829557,-0.0349126
160,0.0744828,-0.0307164,-0.0018463,0.1861448,-0.0041962,0.7007706,-0.0008392,0.1193408,-0.0270237
161,0.0749483,-0.0377661,-0.0018463,0.2224002,-0.0031891,0.629099,-0.0130922,0.0495155,-0.0139315
162,0.0754138,-0.0438087,0.0038605,0.2599985,-0.0008392,0.5604486,-0.0193027,-0.0263523,-0.0025177
163,0.0758793,-0.0461585,0.0095674,0.2945754,0.002182,0.4879377,-0.0166171,-0.10692,-0.003357
164,0.0763448,-0.0471656,0.0090639,0.3244526,0.0048676,0.4065309,-0.0129244,-0.1884947,-0.014435
165,0.0768103,-0.0485084,0.0008392,0.3503014,0.0065461,0.3204242,-0.0139315,-0.2640269,-0.0280308
166,0.0772759,-0.0520333,-0.0097353,0.3771572,0.0090639,0.2364996,-0.0182956,-0.3313344,-0.0384375
167,0.0777414,-0.0548867,-0.0159457,0.4050202,0.0119173,0.1576104,-0.0157778,-0.3905852,-0.0421302
168,0.0782069,-0.0543832,-0.0206455,0.4332189,0.012253,0.0112459,-0.0035248,-0.4481575,-0.0382696
169,0.0786724,-0.0525368,-0.0297093,0.4644388,0.0092317,-0.2648661,0.0132601,-0.5017014,-0.0339055
170,0.0791379,-0.0516976,-0.0438087,0.4983444,0.0052033,-0.5033799,0.0320592,-0.5403067,-0.0419623
171,0.0796034,-0.0532082,-0.0535439,0.5285573,0.0038605,-0.6124819,0.0428016,-0.5552453,-0.0605936
172,0.080069,-0.0518654,-0.0532082,0.550042,0.0001678,-0.6549477,0.0386053,-0.543328,-0.0753643
173,0.0805345,-0.0431373,-0.04448,0.5656519,-0.0048676,-0.6970779,0.0265202,-0.5131151,-0.0750286
174,0.081,-0.0297093,-0.0340734,0.5748836,-0.0095674,-0.7482719,0.0186313,-0.4808881,-0.0619364
175,0.0814655,-0.0146029,-0.0263523,0.5805905,-0.0129244,-0.8061799,0.0224918,-0.4506752,-0.04448
176,0.081931,-0.002182,-0.0196384,0.5862974,-0.0149386,-0.8729839,0.0327306,-0.4234836,-0.0287022
177,0.0823966,0.0075532,-0.0102388,0.5916686,-0.0176242,-0.9431449,0.0327306,-0.4019989,-0.0146029
178,0.0828621,0.0152743,0.0018463,0.5930114,-0.0191348,-1.0045777,0.0166171,-0.3823606,-0.0052033
179,0.0833276,0.0218204,0.0139315,0.5886473,-0.018967,-1.0462043,-0.0052033,-0.3615473,-0.0008392
180,0.0837931,0.0271916,0.0218204,0.5807584,-0.0196384,-1.0613107,-0.0203098,-0.3445945,-0.0008392
181,0.0842586,0.0313878,0.0280308,0.5708553,-0.023331,-1.0559396,-0.0229953,-0.3355306,-0.0035248
182,0.0847241,0.036759,0.0310521,0.5597772,-0.0263523,-1.0394903,-0.0219883,-0.3224384,-0.0078889
183,0.0851897,0.0438087,0.0253452,0.5483635,-0.0270237,-1.0173342,-0.023331,-0.2962539,-0.0104067
184,0.0856552,0.0505226,0.0112459,0.5342641,-0.0250095,-0.9844358,-0.0323949,-0.2579843,-0.0072175
185,0.0861207,0.0538796,-0.0045319,0.5159686,-0.023331,-0.9335775,-0.0505226,-0.2230716,-0.0028534
186,0.0865862,0.0555581,-0.0203098,0.4939803,-0.0223239,-0.868452,-0.0704967,-0.2091402,-0.0028534
187,0.0870517,0.0582437,-0.0357519,0.4704814,-0.0209812,-0.7961089,-0.079057,-0.2057832,-0.0031891
188,0.0875172,0.0602579,-0.0451514,0.445304,-0.0186313,-0.7229267,-0.0599222,-0.1888304,-0.002182
189,0.0879828,0.0582437,-0.0464942,0.4201266,-0.0169528,-0.6556191,-0.03122,-0.160296,-0.0028534
