Application:, Trigno Discover (2.0.1.3)
Date/Time:, 9/18/2025 4:07:04 PM
Collection Length (seconds):, 4.995
Tibilais Anterior left (85586), , Gastrocnemius right (85650), , , , , , , , Rectus Femoris left (85878), , Rectus Femoris right (85844), , Hamstrings left (85904), , Tibilais Anterior right (85641), , Hamstrings right (85873), , Gastrocnemius left (85605)
sensor mode: 40, , sensor mode: 49, , , , , , , , sensor mode: 40, , sensor mode: 40, , sensor mode: 40, , sensor mode: 40, , sensor mode: 40, , sensor mode: 40
EMG 1 Time Series (s), EMG 1 (mV), EMG 1 Time Series (s), EMG 1 (mV), GYRO X Time Series (s), GYRO X (deg/s), GYRO Y Time Series (s), GYRO Y (deg/s), GYRO Z Time Series (s), GYRO Z (deg/s), EMG 1 Time Series (s), EMG 1 (mV), EMG 1 Time Series (s), EMG 1 (mV), EMG 1 Time Series (s), EMG 1 (mV), EMG 1 Time Series (s), EMG 1 (mV), EMG 1 Time Series (s), EMG 1 (mV), EMG 1 Time Series (s), EMG 1 (mV)
, 2148.1481 Hz, , 1925.9259 Hz, , 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz, , 2148.1481 Hz, , 2148.1481 Hz, , 2148.1481 Hz, , 2148.1481 Hz, , 2148.1481 Hz, , 2148.1481 Hz
, 0.00046551724137931035 s, , 0.0005192307692307692 s, , 0.0135 s, , 0.0135 s, , 0.0135 s, , 0.00046551724137931035 s, , 0.00046551724137931035 s, , 0.00046551724137931035 s, , 0.00046551724137931035 s, , 0.00046551724137931035 s, , 0.00046551724137931035 s, , Type, Name, Label, Time (s), , 
0.0228103, -0.01561, 0.0254423, 0.0171206, 0.6615, -1133.0488281, 0.6615, -170.5487823, 0.6615, 739.8780518, 0.0228103, -0.0117494, 0.0228103, 0.0236667, 0.0228103, -0.0357519, 0.0228103, -0.0303807, 0.0228103, 0.0219883, 0.0228103, -0.0035248, , , , , , , 
0.0232759, -0.01561, 0.0259615, 0.0065461, 0.675, -567.5609741, 0.675, -58.2926826, 0.675, 806.5853882, 0.0232759, -0.012253, 0.0232759, 0.0224918, 0.0232759, -0.0357519, 0.0232759, -0.0317235, 0.0232759, 0.0169528, 0.0232759, -0.0166171, , , , , , , 
0.0237414, -0.024506, 0.0264808, -0.0085603, 0.6885, -469.9390259, 0.6885, 198.5975647, 0.6885, 787.9268188, 0.0237414, -0.0124208, 0.0237414, 0.0219883, 0.0237414, -0.0364233, 0.0237414, -0.0327306, 0.0237414, 0.0129244, 0.0237414, -0.0182956, , , , , , , 
0.0242069, -0.0426337, 0.027, -0.0119173, 0.702, -893.8414917, 0.702, 411.6463623, 0.702, 830.5488281, 0.0242069, -0.012253, 0.0242069, 0.0213169, 0.0242069, -0.0344091, 0.0242069, -0.0320592, 0.0242069, 0.0105745, 0.0242069, -0.0182956, , , , , , , 
0.0246724, -0.0647898, 0.0275192, -0.005539, 0.7155, -1150.1829834, 0.7155, -320.3048706, 0.7155, 833.0488281, 0.0246724, -0.012253, 0.0246724, 0.0196384, 0.0246724, -0.0310521, 0.0246724, -0.030045, 0.0246724, 0.0090639, 0.0246724, -0.0229953, , , , , , , 
0.0251379, -0.0814069, 0.0280385, -0.002182, 0.729, -660, 0.729, 222.5, 0.729, 333.4756165, 0.0251379, -0.0125887, 0.0251379, 0.0182956, 0.0251379, -0.0288701, 0.0251379, -0.0273594, 0.0251379, 0.0072175, 0.0251379, -0.0285344, , , , , , , 
0.0256034, -0.0897993, 0.0285577, -0.005539, 0.7425, -776.5853882, 0.7425, 107.0731735, 0.7425, 119.5121994, 0.0256034, -0.0132601, 0.0256034, 0.0198062, 0.0256034, -0.0283665, 0.0256034, -0.026688, 0.0256034, 0.0052033, 0.0256034, -0.0273594, , , , , , , 
0.026069, -0.0970169, 0.0290769, -0.0082246, 0.756, -625.7317505, 0.756, 794.8780518, 0.756, 178.2926941, 0.026069, -0.0146029, 0.026069, 0.0203098, 0.026069, -0.0297093, 0.026069, -0.0290379, 0.026069, 0.0035248, 0.026069, -0.0172885, , , , , , , 
0.0265345, -0.10692, 0.0295962, -0.008896, 0.7695, -173.7804871, 0.7695, -1510.8536377, 0.7695, 40.5487823, 0.0265345, -0.0162814, 0.0265345, 0.0199741, 0.0265345, -0.03122, 0.0265345, -0.0307164, 0.0265345, 0.0025177, 0.0265345, -0.0063783, , , , , , , 
0.027, -0.1050736, 0.0301154, -0.0082246, 0.783, -210.1829376, 0.783, -57.9268303, 0.783, 174.5731812, 0.027, -0.0166171, 0.027, 0.0182956, 0.027, -0.0323949, 0.027, -0.0317235, 0.027, 0.0041962, 0.027, -0.0008392, , , , , , , 
